PLATAFORMA;M9;TMIB;PRIORIDADE
B1;3;2;0
B2;0;5;0
B3;0;5;0
M1;0;11;0
M3;0;10;0
M5;0;5;0
M6;0;9;0
M9;0;17;0
M10;0;1;0
PGA2;2;3;0
PGA3;0;1;0
